cand_id,bioguide_id,match_method,confidence
H4MT01041,Z000018,authoritative,high
H4MT02098,D000634,authoritative,high
H4NC01046,B001251,authoritative,high
H4NC05146,F000450,authoritative,high
H4NC06011,C000556,authoritative,high
H4NC06052,W000819,authoritative,high
H4NC06177,M001240,authoritative,high
H4NC08066,H001102,authoritative,high
H4NC09106,M001134,authoritative,high
H4NC10047,M001156,authoritative,high
H4NC12100,A000370,authoritative,high
H4NC13116,K000405,authoritative,high
H4NC14015,M001236,authoritative,high
H4ND00061,F000482,authoritative,high
H4NE01064,F000449,authoritative,high
H4NE02054,A000373,authoritative,high
H4NH02175,H001043,authoritative,high
H4NH02399,G000604,authoritative,high
H4NJ01084,N000188,authoritative,high
H4NJ03080,C001136,authoritative,high
H4NJ03130,M001193,authoritative,high
H4NJ09194,P000621,authoritative,high
H4NJ10176,M001229,authoritative,high
H4NJ12149,W000822,authoritative,high
H4NJ13022,S000097,authoritative,high
H4NV04017,H001070,authoritative,high
H4NY01055,F000257,authoritative,high
H4NY04075,R000602,authoritative,high
H4NY04158,G000602,authoritative_unverified,medium
H4NY07011,A000022,authoritative,high
H4NY11138,C001067,authoritative,high
H4NY16087,L000606,authoritative,high
