election_cycle,transaction_year,transaction_month,cand_id,bioguide_id,total_raised,transaction_count
1980,1979,,P00000406,,10996,38
1980,1979,,P00000455,,1328261,3347
1980,1979,,P00000539,,9302,2
1980,1979,,P00000562,,16820,33
1980,1979,,P00000737,,6500000,8
1980,1979,,P00000885,,1577,5
1980,1979,,P00001271,,10250,33
1980,1979,,P00001347,,1300,4
1980,1979,,P00001545,,10000,1
1980,1979,,P00001602,,1000,1
1980,1979,,P60000452,,3720,6
1980,1979,,P60000734,,2444,4
1980,1979,,P60000817,,19090,56
1980,1979,,S0AK00014,,6500,20
1980,1979,,S0AZ00012,,24057,8
1980,1979,,S0AZ00020,,18911,39
1980,1979,,S0AZ00038,,4700,14
1980,1979,,S0AZ00046,,2450,9
1980,1979,,S0AZ00053,,12550,26
1980,1979,,S0CA00025,,110012,256
1980,1979,,S0CA00033,,17000,25
1980,1979,,S0CO00047,,7750,9
1980,1979,,S0CT00011,,15941,19
1980,1979,,S0CT00029,,38250,61
1980,1979,,S0CT00037,D000388,90450,174
1980,1979,,S0FL00015,,46220,94
1980,1979,,S0FL00023,,104250,183
1980,1979,,S0FL00031,,10450,17
1980,1979,,S0GA00013,,900,2
1980,1979,,S0GA00021,,18777,81
1980,1979,,S0GA00062,,93250,127
1980,1979,,S0IA00010,,80145,118
1980,1979,,S0ID00016,,16050,21
1980,1979,,S0IL00014,,850,1
1980,1979,,S0IL00022,,23459,52
1980,1979,,S0IL00030,,249979,694
1980,1979,,S0IL00048,,130339,240
1980,1979,,S0IL00055,,200,1
1980,1979,,S0IL00063,,2700,7
1980,1979,,S0IL00071,,29775,52
1980,1979,,S0IL00089,,4250,2
1980,1979,,S0IL00113,,2157,4
1980,1979,,S0IN00012,,35292,105
1980,1979,,S0KS00018,,27004,10
1980,1979,,S0KY00016,,55750,121
1980,1979,,S0MD00028,,200,1
1980,1979,,S0MD00036,,1000,1
1980,1979,,S0MD00044,,2000,2
1980,1979,,S0MO00019,,500,2
1980,1979,,S0NC00020,,2250,4
1980,1979,,S0NH00029,,5250,13
1980,1979,,S0NH00037,,13150,32
1980,1979,,S0NH00078,,5000,1
1980,1979,,S0NY00014,,145100,269
1980,1979,,S0NY00022,,52240,80
1980,1979,,S0NY00048,,7250,12
1980,1979,,S0NY00055,,195732,263
1980,1979,,S0NY00063,,5850,10
1980,1979,,S0OH00018,,258,5
1980,1979,,S0OH00026,,3650,10
1980,1979,,S0OK00032,,51413,102
1980,1979,,S0OK00057,,22450,38
1980,1979,,S0OK00081,,10974,25
1980,1979,,S0OK00099,,1200,3
1980,1979,,S0OK00107,N000102,9100,20
